,id,name,MP,GA,GA90,SoTA,Saves%,CS%,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT%,G/Sh
267,3a233281,Leon Bailey,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
268,2acd49b9,Moussa Sissoko,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
269,2bd83368,Anthony Gordon,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
270,291e3ec3,Adam Idah,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
271,7ba6d84e,David de Gea,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
272,1ecb65be,Theo Walcott,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
273,ca45605e,Patson Daka,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
274,49fe9070,Timo Werner,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
275,05e8ca6d,Cameron Archer,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
276,de0f152c,Adam Masina,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
277,d3ce0e89,Danny Ward,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
278,d8931174,Harry Maguire,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
279,59e6e5bf,Dominic Calvert Lewin,244,0,0.0,0.0,0.0,0.0,69,14,2,3,28,0,364,27.340000000000003,2.8400000000000003
280,3423f250,Raphinha,165,0,0.0,0.0,0.0,0.0,39,28,5,5,30,0,335,24.11176470588235,2.0700000000000003
281,d93c2511,Scott McTominay,215,0,0.0,0.0,0.0,0.0,21,5,0,0,38,0,166,27.90384615384615,2.15
282,989d5705,Jeff Hendrick,406,0,0.0,0.0,0.0,0.0,41,26,0,0,42,2,162,10.706451612903225,1.9500000000000002
283,d9565625,Diogo Dalot,130,0,0.0,0.0,0.0,0.0,4,8,0,0,24,0,83,16.145454545454545,0.87
284,407db0d5,Mads Bidstrup,73,0,0.0,0.0,0.0,0.0,6,2,0,0,9,0,19,7.866666666666666,0.0
285,d5dd5f1f,Pierre Emerick Aubameyang,533,0,0.0,0.0,0.0,0.0,285,68,23,33,32,2,738,30.197674418604645,5.95
286,e9971f2d,Japhet Tanganga,87,0,0.0,0.0,0.0,0.0,1,2,0,0,17,2,22,8.521052631578948,0.0
287,e34fc66d,Joachim Andersen,252,0,0.0,0.0,0.0,0.0,8,6,0,0,40,5,67,12.123809523809523,1.2700000000000002
288,112c495e,Dimitris Giannoulis,149,0,0.0,0.0,0.0,0.0,0,18,0,0,34,1,19,8.458333333333334,0.0
289,a1232f4e,Eric Bailly,179,0,0.0,0.0,0.0,0.0,2,2,0,0,41,7,35,7.550000000000001,0.33
290,bcfb0142,Ben Gibson,323,0,0.0,0.0,0.0,0.0,6,8,0,0,48,6,60,13.73076923076923,1.12
291,cc2d7ad5,Charlie Taylor,320,0,0.0,0.0,0.0,0.0,3,20,0,0,28,0,22,4.167857142857143,0.0
292,35be8087,Tony Springett,50,0,0.0,0.0,0.0,0.0,8,13,0,1,6,0,2,25.0,0.0
293,2ce2508a,Luka Milivojevic,378,0,0.0,0.0,0.0,0.0,50,23,23,27,96,5,167,8.70625,0.16
294,ae4fc6a4,Eberechi Eze,210,0,0.0,0.0,0.0,0.0,33,21,4,5,10,0,288,18.105263157894736,0.5499999999999999
295,810e3c74,Jesse Lingard,313,0,0.0,0.0,0.0,0.0,57,29,2,3,38,1,307,23.25263157894737,2.7600000000000002
296,a3d94a58,Cristian Romero,166,0,0.0,0.0,0.0,0.0,7,7,0,0,69,5,78,24.660000000000004,0.68
297,bfae110f,Wesley Moraes,190,0,0.0,0.0,0.0,0.0,43,13,1,2,23,2,87,32.711111111111116,2.2199999999999998
298,71b47ab9,Cucho,172,0,0.0,0.0,0.0,0.0,42,20,5,6,31,1,298,27.32,0.45999999999999996
299,43458538,Joshua King,335,0,0.0,0.0,0.0,0.0,70,30,13,15,22,0,317,17.911538461538463,1.48
300,d313e8ff,CJ Egan Riley,46,0,0.0,0.0,0.0,0.0,0,1,0,0,9,0,3,0.0,0.0
301,1b4f1169,Albert Sambi Lokonga,105,0,0.0,0.0,0.0,0.0,3,5,0,0,13,2,67,5.43076923076923,0.08
302,e5d01ecf,Kiko Femenia,402,0,0.0,0.0,0.0,0.0,16,24,0,0,43,1,41,6.478260869565218,0.28
303,4e9a0555,Chris Wood,474,0,0.0,0.0,0.0,0.0,147,36,22,25,10,0,333,21.238461538461536,1.62
304,6c17e046,Tyler Roberts,181,0,0.0,0.0,0.0,0.0,28,16,4,5,20,0,212,17.839999999999996,0.64
